Rank,Name,Price,One_hour_change,Twenty_four_hour_change,Seven_day_change,Market_cap,Hr_volume,Circulating_supply
45,OndoONDOBuy,$0.3398,1.11%,2.57%,10.06%,"$1.65B$1,654,614,735","$59,188,655173.58M",4.86B ONDO
46,Global DollarUSDGBuy,$0.9997,0.02%,0.01%,0.00%,"$1.62B$1,617,395,014","$22,245,32622.25M",1.61B USDG
47,AsterASTERBuy,$0.6066,0.99%,1.52%,14.37%,"$1.56B$1,561,400,691","$112,499,173185.12M",2.57B ASTER
48,PiPIBuy,$0.1837,0.67%,2.22%,9.47%,"$1.54B$1,540,165,333","$14,717,52180.07M",8.38B PI
49,SkySKYBuy,$0.06696,0.19%,4.71%,13.08%,"$1.54B$1,538,968,740","$38,711,796577.59M",22.98B SKY
50,KuCoin TokenKCSBuy,$10.66,0.24%,1.21%,6.19%,"$1.41B$1,410,068,867","$3,191,685298.97K",132.15M KCS
51,Polygon (prev. MATIC)POLBuy,$0.1326,0.08%,0.37%,11.97%,"$1.4B$1,401,392,052","$101,128,080762.55M",10.56B POL
52,MYX FinanceMYXBuy,$5.52,1.06%,7.64%,0.87%,"$1.39B$1,389,111,216","$16,441,3342.97M",251.47M MYX
53,EthenaENABuy,$0.1733,0.77%,0.08%,22.18%,"$1.38B$1,379,465,509","$144,191,774831.33M",7.95B ENA
54,Ripple USDRLUSDBuy,$0.9995,0.07%,0.04%,0.03%,"$1.34B$1,335,498,662","$256,246,020256.30M",1.33B RLUSD
55,WorldcoinWLDBuy,$0.4714,0.67%,0.51%,15.88%,"$1.3B$1,300,035,021","$75,578,075160.17M",2.75B WLD
56,AptosAPTBuy,$1.55,0.26%,1.60%,13.43%,"$1.19B$1,186,995,544","$102,827,96266.09M",764.46M APT
57,CosmosATOMBuy,$2.33,0.16%,0.24%,5.24%,"$1.14B$1,141,805,569","$51,754,27122.17M",489.14M ATOM
58,USDDUSDDBuy,$0.9992,0.00%,0.03%,0.05%,"$1.14B$1,137,040,698","$5,724,2105.73M",1.13B USDD
59,GateTokenGTBuy,$9.86,0.31%,0.91%,5.00%,"$1.14B$1,136,706,514","$3,701,485375.21K",115.18M GT
60,KaspaKASBuy,$0.04029,0.04%,0.06%,10.82%,"$1.09B$1,093,440,158","$20,395,508505.89M",27.13B KAS
61,RenderRENDERBuy,$2.01,0.11%,2.61%,8.49%,"$1.05B$1,046,250,130","$108,857,57053.99M",518.69M RENDER
62,AlgorandALGOBuy,$0.1178,0.21%,1.01%,7.93%,"$1.04B$1,043,982,800","$37,550,102318.85M",8.86B ALGO
63,ArbitrumARBBuy,$0.1771,0.97%,2.73%,14.22%,"$1.03B$1,032,307,077","$112,216,893632.37M",5.82B ARB
64,OFFICIAL TRUMPTRUMPBuy,$4.87,0.44%,0.50%,8.85%,"$974.2M$974,197,861","$185,674,23238.11M",199.99M TRUMP
65,QuantQNTBuy,$80.46,0.97%,3.84%,9.19%,"$971.43M$971,426,149","$21,919,965271.72K",12.07M QNT
66,FilecoinFILBuy,$1.30,1.22%,0.63%,11.35%,"$967.15M$967,151,873","$92,248,38770.41M",738.68M FIL
67,MidnightNIGHTBuy,$0.05667,0.85%,8.14%,8.22%,"$941.21M$941,212,708","$25,652,855451.41M",16.6B NIGHT
68,VeChainVETBuy,$0.01022,0.99%,0.34%,11.08%,"$878.95M$878,952,434","$21,991,4862.14B",85.98B VET
69,Pump.funPUMPBuy,$0.002489,1.31%,0.35%,9.84%,"$881.44M$881,439,911","$194,798,74678.30B",354B PUMP
70,FlareFLRBuy,$0.01034,0.73%,3.61%,7.33%,"$858.68M$858,681,180","$6,965,857671.53M",82.96B FLR
71,StoryIPBuy,$2.45,0.76%,6.72%,1.13%,"$857.75M$857,752,170","$212,536,93987.00M",348.98M IP
72,XDC NetworkXDCBuy,$0.04244,4.04%,7.31%,2.78%,"$810.06M$810,060,042","$28,914,357686.77M",19.08B XDC
73,DashDASHBuy,$63.40,1.70%,6.49%,20.01%,"$796.93M$796,932,694","$263,831,5454.15M",12.56M DASH
74,BonkBONKBuy,$0.059011,0.68%,1.40%,13.22%,"$792.99M$792,990,876","$93,288,07310.33T",87.99T BONK
75,SeiSEIBuy,$0.1071,0.78%,2.07%,10.62%,"$708.18M$708,182,276","$42,637,447397.61M",6.61B SEI
76,LayerZeroZROBuy,$1.98,1.42%,5.30%,24.13%,"$664M$663,996,005","$117,027,93458.29M",334.24M ZRO
77,United StablesUBuy,$0.9990,0.00%,0.01%,0.07%,"$664.26M$664,258,323","$36,247,71836.28M",664.9M U
78,PancakeSwapCAKEBuy,$1.92,0.17%,2.10%,5.89%,"$644.19M$644,186,427","$55,941,40029.14M",334.07M CAKE
79,Pudgy PenguinsPENGUBuy,$0.009907,1.22%,3.03%,17.86%,"$622.81M$622,808,961","$147,522,99714.88B",62.86B PENGU
80,TezosXTZBuy,$0.5720,0.64%,1.94%,1.46%,"$613.75M$613,753,777","$29,146,47750.86M",1.07B XTZ
81,JupiterJUPBuy,$0.1927,0.11%,0.71%,11.53%,"$615.07M$615,073,820","$18,378,71595.41M",3.19B JUP
82,NexoNEXOBuy,$0.9365,0.35%,3.55%,2.76%,"$605.12M$605,122,406","$10,729,54111.53M",646.14M NEXO
83,OptimismOPBuy,$0.3070,0.67%,2.07%,9.47%,"$596.91M$596,911,637","$95,137,177309.61M",1.94B OP
84,StacksSTXBuy,$0.3160,1.16%,2.74%,13.77%,"$573.42M$573,423,181","$23,109,32673.08M",1.81B STX
85,Artificial Superintelligence AllianceFETBuy,$0.2359,1.17%,0.43%,13.73%,"$543.18M$543,183,389","$60,231,446254.47M",2.3B FET
86,Virtuals ProtocolVIRTUALBuy,$0.8279,0.41%,2.66%,16.35%,"$543.25M$543,253,355","$137,147,298165.79M",656.15M VIRTUAL
87,Curve DAO TokenCRVBuy,$0.3566,1.83%,1.88%,13.92%,"$520.07M$520,070,731","$61,367,452171.91M",1.45B CRV
88,ChilizCHZBuy,$0.05069,0.54%,1.17%,15.75%,"$518.68M$518,680,137","$114,659,7562.25B",10.23B CHZ
89,First Digital USDFDUSDBuy,$0.9985,0.01%,0.01%,0.05%,"$505.88M$505,880,793","$3,338,446,1023.34B",506.59M FDUSD
90,TrueUSDTUSDBuy,$0.9990,0.01%,0.01%,0.06%,"$494.05M$494,046,944","$13,010,22613.02M",494.51M TUSD
91,ImmutableIMXBuy,$0.2484,0.15%,3.73%,6.32%,"$494.22M$494,220,827","$26,773,864108.04M",1.98B IMX
92,InjectiveINJBuy,$4.58,0.68%,0.98%,10.84%,"$458.52M$458,521,785","$37,712,1798.21M",99.97M INJ
93,MorphoMORPHOBuy,$1.19,0.39%,5.48%,14.49%,"$452.01M$452,010,965","$22,468,64318.79M",378.41M MORPHO
94,LighterLITBuy,$1.78,0.95%,5.92%,2.31%,"$446.13M$446,125,764","$117,295,71265.73M",250M LIT
95,Lido DAOLDOBuy,$0.5214,0.73%,0.78%,14.82%,"$441.4M$441,404,739","$32,212,18361.72M",846.56M LDO
96,Aerodrome FinanceAEROBuy,$0.4800,0.52%,4.86%,13.09%,"$438.3M$438,304,750","$25,012,49252.10M",913.1M AERO
97,DoubleZero2ZBuy,$0.1256,0.86%,4.08%,0.90%,"$436.11M$436,110,017","$18,102,917144.37M",3.47B 2Z
98,Axie InfinityAXSBuy,$2.48,1.12%,7.09%,131.59%,"$417.96M$417,956,723","$576,719,754230.56M",168.24M AXS
99,ether.fiETHFIBuy,$0.5994,0.62%,0.05%,17.82%,"$419.31M$419,308,081","$34,616,26157.64M",699.46M ETHFI
100,The SandboxSANDBuy,$0.1572,0.44%,10.92%,32.61%,"$419.51M$419,514,285","$267,698,4341.70B",2.66B SAND
101,ABABBuy,$0.004249,0.03%,0.40%,3.34%,"$413.99M$413,990,691","$7,142,3811.68B",97.42B AB
102,FLOKIFLOKIBuy,$0.00004321,0.70%,1.08%,13.25%,"$412.3M$412,298,503","$41,093,448949.68B",9.53T FLOKI
103,Sun [New]SUNBuy,$0.02130,0.25%,1.91%,2.57%,"$409.01M$409,011,415","$27,166,0591.27B",19.2B SUN
104,CelestiaTIABuy,$0.4607,0.48%,0.46%,16.48%,"$400.95M$400,948,448","$35,776,24977.64M",870.15M TIA
105,SPX6900SPXBuy,$0.4291,0.50%,1.02%,23.60%,"$399.5M$399,503,740","$18,928,55644.11M",930.99M SPX
106,StarknetSTRKBuy,$0.07653,1.00%,2.29%,8.49%,"$398.47M$398,471,889","$40,262,741526.04M",5.2B STRK
107,BitTorrent [New]BTTBuy,$0.064032,0.34%,3.30%,5.06%,"$397.68M$397,675,879","$22,977,15556.97T",986.06T BTT
108,Maple FinanceSYRUPBuy,$0.3400,0.87%,3.33%,8.56%,"$391.15M$391,150,068","$133,350,015392.12M",1.15B SYRUP
109,The GraphGRTBuy,$0.03647,0.61%,0.49%,9.54%,"$390.05M$390,047,760","$20,115,125551.42M",10.69B GRT
110,JUSTJSTBuy,$0.04395,0.46%,2.30%,7.02%,"$387.46M$387,462,471","$46,087,2241.04B",8.81B JST
111,pippinPIPPINBuy,$0.3829,0.72%,1.15%,24.47%,"$382.93M$382,932,900","$39,793,535103.91M",999.99M PIPPIN
112,TelcoinTELBuy,$0.003956,0.00%,19.76%,1.34%,"$376.59M$376,589,114","$8,000,6002.02B",95.18B TEL
113,Humanity ProtocolHBuy,$0.1629,0.54%,3.79%,17.61%,"$375.76M$375,759,598","$29,750,952182.52M",2.3B H
114,Trust Wallet TokenTWTBuy,$0.8692,0.01%,1.32%,5.74%,"$373.66M$373,657,476","$10,008,80411.51M",429.86M TWT
115,IOTAIOTABuy,$0.08718,0.05%,1.66%,8.44%,"$371.11M$371,112,705","$19,499,207223.65M",4.25B IOTA
116,ConfluxCFXBuy,$0.07057,0.80%,0.60%,6.37%,"$365.25M$365,248,966","$13,356,594189.26M",5.17B CFX
117,PendlePENDLEBuy,$2.11,0.55%,5.20%,0.88%,"$359.41M$359,410,710","$117,765,39255.58M",169.63M PENDLE
118,GnosisGNOBuy,$136.06,0.32%,1.41%,4.99%,"$359.1M$359,104,069","$4,509,45733.14K",2.63M GNO
119,Bitcoin SVBSVBuy,$17.95,0.06%,0.91%,8.38%,"$358.78M$358,775,887","$16,777,749934.26K",19.97M BSV
